Date,Open,High,Low,Close,Adj Close,Volume,,logreturn
12/1/2016,99.889999,100.050003,98.5,99.029999,96.336342,7123000,,0.006831214
12/2/2016,99.400002,100.639999,99.400002,100.599998,97.86364,4594600,,0.000474589
12/5/2016,100.620003,100.910004,100.120003,100.709999,97.970642,3961800,,0.003607342
12/6/2016,101.080002,101.610001,100.809998,101.550003,98.787796,4828400,,0.005355482
12/7/2016,101.160004,102.93,101.160004,102.809998,100.013535,4873400,,-0.002796976
12/8/2016,102.139999,102.610001,102,102.150002,99.37149,3993900,,0.005995551
12/9/2016,102.230003,104.050003,102.040001,103.57,100.752853,5040200,,0.004795664
12/12/2016,103.82,104.870003,103.669998,104.720001,101.871574,4858400,,0.00375761
12/13/2016,104.809998,106.010002,104.68,105.629997,102.756813,4508600,,-0.004795687
12/14/2016,105.879997,106.529999,104.209999,104.470001,101.628365,5007500,,0.003436787
12/15/2016,104.230003,105.57,104.230003,105.300003,102.435791,4179400,,0.002344577
12/16/2016,105.550003,105.919998,105.129997,105.870003,102.990295,7310300,,-0.001891062
12/19/2016,105.459999,105.870003,105.129997,105.410004,102.542816,3683800,,-0.002106343
12/20/2016,104.889999,105.040001,104.370003,104.900002,102.046684,4903400,,-0.000828828
12/21/2016,104.82,105.690002,104.690002,104.699997,101.852119,3245200,,0.002687881
12/22/2016,104.550003,105.449997,104.25,105.349998,102.484444,2605000,,-0.001073191
12/23/2016,104.970001,105.25,104.629997,105.089996,102.231506,1758800,,0.000165264
12/27/2016,105.089996,105.32,104.989998,105.129997,102.270416,1505000,,-0.002111933
12/28/2016,104.870003,105.099998,104.519997,104.620003,101.774292,1878600,,0.001533238
12/29/2016,104.5,105.099998,104.480003,104.989998,102.134232,2407100,,-0.001491762
12/30/2016,104.709999,105.150002,104.330002,104.629997,101.784012,3484000,,8.31E-05
1/3/2017,104.940002,105.089996,104.209999,104.650002,101.803482,3741200,,0.00082919
1/4/2017,105.110001,105.629997,104.790001,104.849998,101.998039,3029700,,-0.000580275
1/5/2017,104.519997,105.120003,104.190002,104.709999,101.861847,5087200,,-0.000622585
1/6/2017,104.980003,105.160004,104.120003,104.559998,101.715927,4109700,,-0.004593085
1/9/2017,104.160004,104.260002,103.25,103.459999,100.645851,5555600,,-0.006300083
1/10/2017,103.32,103.32,101.75,101.970001,99.196373,5399200,,-0.000681978
1/11/2017,101.839996,102.360001,101.410004,101.809998,99.040726,4650300,,0.000127944
1/12/2017,101.709999,102.519997,101.580002,101.839996,99.069908,3126000,,-0.001238463
1/13/2017,101.879997,102.110001,101.220001,101.550003,98.787796,3478600,,0.002728494
1/17/2017,101.07,102.32,101.059998,102.190002,99.410393,3719300,,0.002331172
1/18/2017,102.400002,103,102.32,102.739998,99.945435,4340400,,-0.001609298
1/19/2017,102.279999,103,102.169998,102.360001,99.575768,3923100,,0.003717686
1/20/2017,102.790001,103.32,102.440002,103.239998,100.431824,4750800,,0.003227124
1/23/2017,102.900002,104.220001,102.830002,104.010002,101.180885,4584800,,0.002913073
1/24/2017,104,104.93,103.779999,104.709999,101.861847,4992300,,-0.000415
1/25/2017,104.709999,105.190002,104.540001,104.610001,101.764557,3566100,,-0.001955591
1/26/2017,104.510002,104.730003,104.07,104.139999,101.30735,3634600,,-0.002761103
1/27/2017,104.379997,104.410004,103.43,103.480003,100.665314,4248200,,0.000880407
1/30/2017,103.010002,103.720001,103,103.690002,100.869591,3462600,,0.000376771
1/31/2017,103.209999,104.169998,103.209999,103.779999,100.957138,3846600,,-0.003234237
2/1/2017,103.610001,103.779999,102.980003,103.010002,100.208092,3515600,,0.004279179
2/2/2017,103.760002,104.389999,103.290001,104.029999,101.20034,3213700,,0.004485427
2/3/2017,104.440002,105.769997,104.059998,105.110001,102.250961,4287100,,-0.002236903
2/6/2017,105.099998,105.239998,104.529999,104.57,101.725655,4355200,,0.004297932
2/7/2017,104.629997,105.900002,104.629997,105.610001,102.737366,3980400,,0.000328868
2/8/2017,105.5,106.230003,105.25,105.690002,102.815193,3407100,,0.001148978
2/9/2017,105.690002,106.489998,105.019997,105.970001,103.087563,4012400,,0.000532484
2/10/2017,105.830002,106.349998,105.589996,106.099998,103.214035,2475500,,0.001715745
2/13/2017,106.5,106.690002,105.879997,106.519997,103.622604,3463700,,0.001627835
2/14/2017,106.169998,107,105.669998,106.919998,104.011734,5651000,,-0.000772399
2/15/2017,105.349998,107.25,104.769997,106.730003,103.826912,7617200,,0.005619513
2/16/2017,107.150002,108.18,106.32,108.120003,105.1791,5559900,,0.000120479
2/17/2017,107.290001,108.300003,107.209999,108.150002,105.208282,5498400,,0.004831971
2/21/2017,108.07,109.5,107.949997,109.360001,106.385368,5370700,,0.000198508
2/22/2017,109.370003,109.779999,109.169998,109.410004,106.434006,3815300,,0.00051569
2/23/2017,109.120003,110,109.120003,109.540001,106.560463,3382700,,0.00114828
2/24/2017,109.5,109.919998,109.330002,109.830002,106.842583,3991800,,-0.00222005
2/27/2017,109.690002,109.879997,109.230003,109.269997,106.297813,3475100,,0.0043894
2/28/2017,109.050003,110.599998,109.050003,110.379997,107.377609,4684700,,0.0004079
3/1/2017,109.599998,110.32,109.169998,109.730003,107.478508,4750700,,0.001501339
3/2/2017,109.809998,110.32,109.43,110.110001,107.8507,3880800,,0.001771265
3/3/2017,110.099998,110.669998,109.650002,110.559998,108.291466,4111300,,-0.00366856
3/6/2017,109.800003,110.190002,109.43,109.629997,107.380562,4491000,,-0.001229802
3/7/2017,109.160004,109.769997,109,109.32,107.07692,4361100,,-7.94E-05
